Skanderborg,Viby Jylland,146051.000
Hørning,Viby Jylland,7412348.000
Sjørring,Thisted,32833.000
Snedsted,Sjørring,23496.000
Hørdum,Snedsted,31743.000
Bedsted Thy,Hørdum,37172.000
Hurup Thy,Bedsted Thy,100255.000
Ydby,Hurup Thy,93486.000
Lyngs,Ydby,30520.000
Hvidbjerg,Lyngs,107560.000
Uglev,Hvidbjerg,120771.000
Oddesund Nord,Uglev,25620.000
Humlum,Oddesund Nord,55066.000
Struer,Humlum,56136.000
Viby Jylland,Aarhus H,7352265.000
Randers,Aarhus H,51275424.000
Skanderborg,Aarhus H,8428950.000
Hadsten,Aarhus H,39606176.000
Hinnerup,Aarhus H,47189376.000
Hobro,Randers,24837667.000
Aarhus H,Randers,7139616.000
Langå,Randers,2602017.000
Aalborg,Hobro,47845140.000
Arden,Hobro,10192896.000
Randers,Hobro,2992490.000
Aalborg Vestby,Aalborg,43402140.000
Hobro,Aalborg,2278340.000
Skalborg,Aalborg,1891856.000
Lindholm,Aalborg Vestby,2820181.000
Aalborg,Aalborg Vestby,1446738.000
Aalborg Lufthavn,Lindholm,1578260.000
Brønderslev,Lindholm,1406346.000
Aalborg Vestby,Lindholm,61982.000
Vrå,Brønderslev,0.000
Hjørring,Vrå,0.000
Tølløse,Vipperød,1789110.000
Holbæk,Vipperød,2186576.000
Hvalsø,Tølløse,3164960.000
Vipperød,Tølløse,16698360.000
Lejre,Hvalsø,2954743.000
Tølløse,Hvalsø,26269168.000
Roskilde,Lejre,7361260.000
Hvalsø,Lejre,22026266.000
Høje Taastrup,Hedehusene,1269116.000
Trekroner,Hedehusene,614457.000
Vordingborg,Næstved,88268253.000
Glumsø,Næstved,4873236.000
Næstved Nord,Næstved,55123479.000
Nykøbing F,Vordingborg,17343752.000
Langå,Hadsten,7195635.000
Aarhus H,Hadsten,1504032.000
Randers,Langå,709641.000
Ulstrup,Langå,5422830.000
Hadsten,Langå,1066020.000
Skørping,Arden,3891810.000
Hobro,Arden,606720.000
Støvring,Skørping,4123012.000
Arden,Skørping,366288.000
Svenstrup (Jylland),Støvring,2607825.000
Skørping,Støvring,335594.000
Skalborg,Svenstrup (Jylland),1431848.000
Støvring,Svenstrup (Jylland),179850.000
Aalborg,Skalborg,2364820.000
Svenstrup (Jylland),Skalborg,81355.000
Ringsted,Glumsø,4622910.000
Næstved,Glumsø,812206.000
Viby Sjælland,Borup,11236581.000
Ringsted,Borup,1952440.000
Roskilde,Viby Sjælland,3655396.000
Borup,Viby Sjælland,7096788.000
Lindholm,Aalborg Lufthavn,17155.000
Ejby,Nørre Aaby,5483476.000
Gelsted,Ejby,4177812.000
Aarup,Gelsted,4219856.000
Tommerup,Aarup,5839976.000
Odense,Tommerup,1478295.000
Jelling,Vejle Sygehus,3024826.000
Give,Jelling,4831130.000
Thyregod,Give,3575232.000
Brande,Thyregod,3696961.000
Herning,Brande,21633992.000
Gødstrup,Herning,29422806.000
Herning Messecenter,Herning,26970197.000
Vildbjerg,Gødstrup,5939560.000
Aulum,Vildbjerg,4227324.000
Holstebro,Aulum,11269104.000
Hjerm,Holstebro,11255139.000
Struer,Hjerm,741468.000
Hadsten,Hinnerup,108241.000
Bjerringbro,Ulstrup,6738108.000
Rødkærsbro,Bjerringbro,7217150.000
Viborg,Rødkærsbro,17679648.000
Sparkær,Viborg,16350902.000
Stoholm,Sparkær,2680692.000
Højslev,Stoholm,3017619.000
Skive,Højslev,7300300.000
Vinderup,Skive,7689534.000
Struer,Vinderup,318800.000
Gjesing,Spangsbjerg,4585602.000
Guldager,Gjesing,2584190.000
Varde Kaserne,Guldager,1239936.000
Varde,Varde Kaserne,622994.000
Skanderborg,Hørning,152348.000
Ry,Alken,7766750.000
Laven,Ry,7997765.000
Svejbæk,Laven,2367072.000
Silkeborg,Svejbæk,16652669.000
Engesvang,Silkeborg,16778090.000
Bording,Engesvang,3134835.000
Ikast,Bording,5688400.000
Hammerum,Ikast,5402591.000
Birk Centerpark,Hammerum,2208504.000
Herning,Birk Centerpark,7414198.000
Studsgård,Herning Messecenter,528330.000
Kibæk,Studsgård,1598178.000
Troldhede,Kibæk,1975568.000
Borris,Troldhede,1244243.000
Skjern,Borris,5714136.000
Tarm,Skjern,7424170.000
Ølgod,Tarm,4707396.000
Gårde,Ølgod,2797353.000
Tistrup,Gårde,1638076.000
Sig,Tistrup,1985991.000
Varde Nord,Sig,1841160.000
Varde,Varde Nord,451490.000
