station,lon,lat
Ikast St.,9.154345,56.144808
Hammerum St.,9.062907,56.131702
Birk Centerpark St.,9.029952,56.125383
Herning Messecenter St.,8.944761,56.123729
Studsgård St.,8.91,56.091412
Kibæk St.,8.851948,56.032515
Troldhede St.,8.745075,55.990868
Borris St.,8.644171,55.958534
Skjern St.,8.492298,55.947585
Tarm St.,8.52021,55.909902
Ølgod St.,8.622507,55.810985
Gårde St.,8.611396,55.765356
Tistrup St.,8.598344,55.716697
Sig St.,8.576833,55.665782
Varde Nord St.,8.500281,55.631317
