Stationsnavn;Operatør;Jan;Feb;Mar;Apr;Maj;Jun;Jul;Aug;Sep;Okt;Nov;Dec;Total
Snekkersten;DSB FR;17.226;16.017;18.675;18.268;20.531;20.519;17.732;21.318;21.592;20.018;19.389;16.621;227.906
Snekkersten;Lokaltog;6.024;5.006;6.755;5.399;5.638;5.990;3.892;6.105;7.404;5.912;6.493;5.217;69.835
Sommerland Sjælland;Lokaltog;0;0;0;104;1.071;2.668;3.814;2.037;525;0;0;0;10.219
Sorø;DSB FR;41.028;35.619;34.194;36.700;37.070;30.049;27.446;39.572;38.372;41.877;36.802;28.469;427.198
Spangsbjerg;Arriva;4.979;4.059;5.581;3.770;4.358;2.096;990;5.554;6.812;5.028;6.165;3.829;53.221
Sparkær;Arriva;975;896;1.054;975;1.021;1.016;755;1.312;1.333;1.223;1.330;1.099;12.989
Sprogøvej;Midtjyske Jernbaner;;;;;;;;;;;;;0
St. Heddinge;Lokaltog;8.191;7.506;8.093;7.347;9.237;7.946;4.606;6.508;6.130;7.670;7.881;5.753;86.868
St. Merløse;Lokaltog;1.938;1.734;1.969;1.930;1.967;2.163;2.009;2.056;2.072;2.112;1.882;1.518;23.350
Stenhus;Lokaltog;3.706;3.071;4.226;3.394;3.507;2.521;1.244;3.196;4.207;2.980;4.100;2.516;38.668
Stenlille;Lokaltog;3.157;2.856;3.649;3.556;3.561;3.200;2.885;3.584;3.346;3.042;3.274;2.751;38.861
Stenstrup;Arriva;4.329;4.616;5.747;4.881;4.687;4.766;3.836;5.421;5.828;5.190;5.282;4.315;58.898
Stenstrup;DSB FR;;;;;;;;;;;;;0
Stenstrup Syd;Arriva;900;928;1.099;1.004;1.034;878;719;1.002;1.036;934;1.007;838;11.379
Stenstrup Syd;DSB FR;;;;;;;;;;;;;0
Stoholm;Arriva;3.604;3.118;3.543;3.214;3.449;3.526;2.323;3.935;4.013;3.751;3.910;3.334;41.720
Strandby;Nordjyske Jernbaner;2.701;2.554;2.897;2.703;2.747;2.919;3.215;3.465;3.162;2.866;3.064;2.559;34.852
Strande;Midtjyske Jernbaner;;;;;;;;;;;;;0
Struer;Arriva;18.952;18.330;20.059;19.747;22.077;20.136;21.305;22.390;22.203;21.675;21.663;19.950;248.487
Struer;DSB FR;5.744;5.311;5.818;5.917;6.067;5.576;3.881;4.543;6.416;6.359;6.003;5.320;66.955
Studsgård;Arriva;523;467;546;500;462;376;218;489;532;478;592;442;5.625
Stæremosen;Lokaltog;854;991;1.201;1.161;1.146;1.448;1.243;1.375;1.577;1.049;1.212;1.201;14.458
Støvring;DSB FR;3.614;3.003;3.092;3.214;3.450;2.999;2.827;3.807;3.686;3.935;3.734;3.222;40.583
Støvring;Nordjyske Jernbaner;2.873;2.625;3.024;2.493;3.210;3.404;1.952;3.090;3.508;3.315;3.959;3.212;36.665
Svebølle;DSB FR;3.828;3.444;3.829;3.811;3.716;3.355;3.124;4.142;3.972;3.750;3.470;3.007;43.448
Svejbæk;Arriva;2.613;2.403;2.917;2.476;2.843;3.125;2.403;3.606;3.212;2.907;3.345;2.773;34.623
Svendborg;Arriva;20.815;22.634;26.803;23.765;23.745;25.315;23.222;27.741;27.640;24.813;24.971;21.755;293.219
Svendborg;DSB FR;;;;;;;;;;;;;0
Svendborg Vest;Arriva;10.022;10.388;12.448;9.567;10.071;9.016;6.978;12.058;13.410;12.015;13.017;10.856;129.846
Svendborg Vest;DSB FR;;;;;;;;;;;;;0
Svenstrup (Jylland);DSB FR;1.616;1.437;1.560;1.626;1.739;1.622;1.303;1.773;1.602;1.644;1.866;1.580;19.368
Svenstrup;Nordjyske Jernbaner;2.190;1.989;2.372;1.814;2.311;2.558;1.490;2.372;2.397;2.423;2.756;2.114;26.786
Svinninge;Lokaltog;6.911;6.585;7.564;7.112;7.706;7.517;6.230;7.392;8.031;7.017;7.754;6.377;86.196
Süderlügum;Arriva;725;883;1.222;937;1.421;1.674;1.474;1.890;2.207;1.534;208;;14.175
Søborg;Lokaltog;50;53;114;61;193;45;142;69;86;38;41;101;993
Søllested;Lokaltog;4.047;3.139;4.387;3.916;4.219;4.322;3.623;3.878;4.854;4.997;4.349;3.871;49.602
Sønderborg;DSB FR;8.697;7.766;8.529;8.557;9.281;8.959;8.539;9.421;10.295;9.703;9.424;7.600;106.771
Sønderby;Nordjyske Jernbaner;;;;;;;;;;;;;0
Tarm;Arriva;3.575;3.220;3.632;3.316;3.025;1.840;2.286;3.199;3.983;3.536;3.863;3.309;38.784
Taulov;DSB FR;2.165;1.472;1.670;1.974;1.841;1.465;1.483;2.185;1.719;1.891;1.805;1.467;21.137
Teglgårdsvej;Nordjyske Jernbaner;524;499;648;535;675;682;666;684;1.018;756;765;524;7.976
