Stationsnavn;Operatør;Jan;Feb;Mar;Apr;Maj;Jun;Jul;Aug;Sep;Okt;Nov;Dec;Total
Eskilstrup;DSB FR;3.318;2.807;2.932;2.977;2.749;2.672;2.410;3.124;2.892;2.989;2.753;2.230;33.853
Espergærde;DSB FR;40.794;38.012;44.318;43.139;48.279;48.296;41.695;50.153;50.514;47.081;45.747;39.320;537.348
Fredericia;DSB FR;227.409;183.525;187.171;213.625;222.444;234.905;236.617;284.335;238.587;251.282;221.999;184.699;2.686.598
Frederikshavn;DSB FR;;;;;;;;;;;;;0
Frederikshavn;Nordjyske Jernbaner;23.257;20.795;24.241;22.612;26.054;25.207;31.174;29.825;27.109;24.040;24.233;21.200;299.747
Frederikshavnsvej;Nordjyske Jernbaner;3.237;3.268;3.714;3.251;3.656;3.653;4.171;4.246;4.089;3.564;3.609;2.954;43.412
Frisvadvej;Arriva;1.697;1.212;1.867;1.209;1.200;540;419;1.649;2.218;1.566;2.000;1.283;16.860
Fruens Bøge;Arriva;1.954;2.192;2.591;2.258;2.708;3.438;2.374;3.139;3.023;2.541;2.510;2.050;30.778
Fruens Bøge;DSB FR;;;;;;;;;;;;;0
Fåre;Midtjyske Jernbaner;;;;;;;;;;;;;0
Gelsted;DSB FR;3.493;2.739;2.875;3.080;3.234;2.448;2.253;4.237;3.228;3.851;2.952;2.407;36.797
Give;Arriva;4.519;3.955;4.815;4.544;4.707;4.377;3.286;5.194;5.449;4.888;4.969;4.365;55.068
Give;DSB FR;1.794;1.644;1.851;1.800;2.028;1.520;843;1.490;1.832;1.862;1.729;1.582;19.975
Gjesing;Arriva;3.749;3.644;4.075;3.520;3.683;2.786;2.969;4.076;4.136;3.740;4.365;3.602;44.345
Glumsø;DSB FR;9.043;8.031;7.054;8.255;7.897;7.010;5.847;8.978;8.277;9.744;8.491;6.560;95.187
Gredstedbro;Arriva;1.990;1.716;2.204;1.745;2.187;1.902;1.238;2.301;2.676;2.228;2.516;1.973;24.676
Gråsten;DSB FR;2.360;2.157;2.117;2.510;2.934;2.603;2.487;2.786;2.852;2.889;2.298;2.052;30.045
Guldager;Arriva;744;765;964;815;871;802;756;862;874;812;916;879;10.060
Gødstrup;Arriva;4.280;4.088;4.917;3.669;4.476;4.171;2.876;3.800;4.232;4.429;4.642;3.403;48.983
Gødstrup;DSB FR;;;;;;0;;;;;;;0
Gørding;DSB FR;1.979;1.859;2.128;1.949;2.097;1.971;1.537;2.235;2.111;2.062;1.954;1.862;23.744
Gårde;Arriva;499;401;533;410;437;314;219;460;590;541;589;447;5.440
Hadsten;Arriva;7.854;7.411;8.422;7.122;8.076;8.043;4.742;8.622;9.557;8.864;9.795;8.149;96.657
Hadsten;DSB FR;3.693;3.296;3.627;3.611;3.858;2.855;2.335;3.033;3.869;3.946;4.120;3.525;41.768
Hammerum;Arriva;1.558;1.570;1.840;1.840;2.004;1.947;1.611;2.127;2.148;2.007;2.124;2.091;22.867
Harboøre;Midtjyske Jernbaner;;;;;;;;;;;;;0
Haslev;DSB FR;34.892;27.359;27.830;33.225;32.315;28.576;33.379;38.506;34.735;40.801;32.918;29.422;393.958
Hedehusene;DSB FR;25.568;25.576;28.350;24.342;28.859;31.128;23.809;31.128;33.696;33.495;32.933;27.818;346.702
Hedensted;DSB FR;21.059;11.519;9.753;16.721;10.108;8.638;15.836;17.244;9.940;19.608;12.408;11.037;163.871
Hee;Arriva;;;;;;;;;;;;;0
Hellerup;DSB FR;95.896;88.350;99.556;106.047;112.193;105.348;96.429;114.827;116.345;110.988;104.656;86.063;1.236.698
Helsingør;DSB FR;69.878;66.251;76.948;78.223;86.302;84.481;75.748;88.656;89.112;81.809;80.438;69.249;947.095
Henne;Arriva;516;468;571;427;529;425;471;454;475;400;392;381;5.509
Herfølge;DSB FR;5.791;5.647;6.266;5.570;7.033;7.556;6.097;7.321;7.924;7.710;7.826;6.539;81.280
Herning;Arriva;38.404;38.315;43.218;40.023;42.138;38.936;34.952;44.009;45.140;43.670;43.385;38.696;490.886
Herning;DSB FR;14.720;14.016;15.357;14.321;14.825;12.005;8.139;10.660;17.438;17.010;16.366;16.039;170.896
Herning Messecenter;Arriva;230;441;354;307;323;257;227;391;270;468;305;408;3.981
Herregårdsparken;Nordjyske Jernbaner;1.047;992;1.141;969;1.124;1.089;930;1.042;1.109;1.017;1.078;1.074;12.612
Hillerød;Lokaltog;120.023;101.484;125.004;121.608;140.519;139.719;136.823;144.575;139.810;138.871;136.587;114.382;1.559.405
Himlingøje;Lokaltog;351;374;458;405;487;370;232;419;1.230;342;288;249;5.205
Hinnerup;Arriva;9.564;9.009;9.981;8.854;9.947;10.120;6.894;10.986;11.599;10.554;11.989;10.328;119.825
Hinnerup;DSB FR;883;725;658;656;773;694;458;780;932;712;634;542;8.447
Hirtshals;Nordjyske Jernbaner;7.066;6.387;7.408;7.639;9.714;9.292;10.642;11.152;9.754;7.397;7.564;6.556;100.571
Hjallese;Arriva;5.537;6.068;7.404;6.283;6.332;7.983;5.136;6.541;8.040;6.947;7.650;6.751;80.672
Hjallese;DSB FR;;;;;;;;;;;;;0
Hjerm;Arriva;1.352;1.231;1.454;1.128;1.295;1.201;782;1.398;1.528;1.270;1.315;1.178;15.132
Hjerm;DSB FR;74;33;48;54;52;78;38;47;46;66;44;102;682
Hjørring;DSB FR;;;;;;;;;;;;;0
Hjørring;Nordjyske Jernbaner;46.825;44.518;51.970;47.337;51.626;47.934;46.624;52.177;56.874;47.085;52.113;44.844;589.927
Hjørring Øst;Nordjyske Jernbaner;7.564;6.968;8.823;6.494;6.892;5.826;5.650;7.162;8.871;7.448;8.150;6.031;85.879
Hobro;DSB FR;18.257;15.587;16.807;17.733;18.478;15.330;12.260;17.827;19.154;19.413;17.932;17.640;206.418
Holbæk;DSB FR;87.387;76.071;79.067;90.053;86.400;77.378;80.295;97.947;89.887;95.129;81.089;71.809;1.012.512
Holme-Olstrup;DSB FR;2.376;2.123;2.057;2.510;2.784;3.402;4.316;3.969;3.281;3.084;2.714;2.067;34.683
Holmstrup;DSB FR;610;628;503;577;573;391;398;562;496;628;510;426;6.302
Holstebro;Arriva;15.016;15.026;16.644;14.488;15.369;15.010;12.582;16.319;17.060;15.945;16.929;13.687;184.075
Holstebro;DSB FR;9.528;9.778;10.737;9.969;10.136;8.731;5.846;7.215;12.662;11.988;11.306;10.856;118.752
Holsted;DSB FR;3.599;3.156;3.761;3.506;3.320;3.179;3.213;3.574;3.174;3.641;3.146;2.869;40.138
Horne;Nordjyske Jernbaner;1.111;1.020;1.114;1.114;1.334;1.135;864;1.068;1.319;1.043;1.170;948;13.240
Horsens;DSB FR;65.518;55.013;58.359;61.570;63.234;53.700;54.767;69.738;56.190;65.607;57.323;49.007;710.026
Hulsig;Nordjyske Jernbaner;451;649;828;1.262;1.991;2.608;4.374;2.921;2.987;1.103;654;476;20.304
Humlebæk;DSB FR;54.369;51.102;59.359;58.409;65.527;64.819;56.375;67.150;67.760;62.871;61.118;52.632;721.491
Humlum;Arriva;667;567;726;682;765;675;644;926;1.132;616;1.069;888;9.357
Humlum;DSB FR;;;;;;;;;;;;;0
Hurup Thy;Arriva;2.190;2.200;2.545;2.310;2.337;2.087;2.072;2.386;2.323;2.097;2.327;2.091;26.965
Hurup Thy;DSB FR;;;;;;;;;;;;;0
Hvalsø;DSB FR;22.943;22.480;25.695;21.820;26.749;29.096;22.479;28.326;29.970;30.010;30.980;25.640;316.188
Hvidbjerg;Arriva;2.015;1.672;2.262;1.717;1.968;1.738;989;2.001;2.299;1.817;2.194;1.697;22.369
Hvidbjerg;DSB FR;;;;;;;;;;;;;0
Hviding;Arriva;3.238;2.870;3.345;2.633;3.096;3.158;2.244;3.258;3.402;3.827;4.705;3.582;39.358
Hyllerslev;Arriva;38;22;24;37;43;43;33;34;17;11;16;16;334
Højby;Arriva;2.216;2.295;2.738;2.456;2.429;2.993;1.950;2.566;2.818;2.533;2.823;2.703;30.520
Højby;DSB FR;;;;;;;;;;;;;0
Høje Taastrup;DSB FR;169.069;161.654;179.905;160.834;186.610;192.189;153.224;194.658;207.047;210.255;205.385;170.700;2.191.530
Højslev;Arriva;1.584;1.476;1.574;1.614;1.715;1.786;1.369;1.591;1.673;1.508;1.735;1.618;19.243
Hørdum;Arriva;433;456;502;446;454;425;417;476;455;439;499;448;5.450
Hørdum;DSB FR;;;;;;;;;;;;;0
Hørning;Arriva;6.850;6.270;8.216;6.833;7.686;7.982;5.161;7.810;7.945;7.410;8.037;6.667;86.867
Ikast;Arriva;6.447;6.372;7.410;6.978;7.468;7.320;5.014;7.515;8.083;7.524;7.456;6.529;84.116
Janderup;Arriva;754;634;853;602;776;564;456;825;909;670;813;630;8.486
Jegum;Arriva;138;135;121;122;135;98;162;119;137;131;133;122;1.553
Jelling;Arriva;3.420;3.363;3.891;3.713;5.115;3.841;3.043;4.262;4.489;3.943;4.124;3.437;46.641
Jelling;DSB FR;1.729;1.707;1.832;1.957;2.341;1.712;1.042;1.787;1.866;1.953;1.637;1.464;21.027
Jerne;Arriva;3.003;3.100;3.878;3.049;3.404;3.148;2.446;3.146;3.810;3.225;3.809;3.122;39.140
Jerne;DSB FR;;;;;;;;;;;;;0
Jerup;Nordjyske Jernbaner;1.368;1.185;1.414;1.410;1.465;1.500;1.697;1.926;1.732;1.514;1.439;1.302;17.952
Jyderup;DSB FR;12.645;11.585;11.869;12.755;11.978;11.110;11.236;13.685;12.875;13.711;11.706;9.914;145.069
Kalundborg;DSB FR;16.545;14.951;15.727;18.459;18.041;16.334;17.913;19.616;19.154;19.525;17.573;15.005;208.843
Kalundborg Øst;DSB FR;3.371;2.947;3.531;3.157;3.261;3.206;2.733;3.669;3.910;4.077;4.088;3.140;41.090
Kauslunde;DSB FR;492;494;414;474;465;394;462;473;440;572;381;329;5.390
Kibæk;Arriva;1.735;1.667;2.022;1.768;1.526;1.649;1.650;2.323;2.356;2.188;2.408;1.880;23.172
Klampenborg;DSB FR;14.704;14.309;16.143;20.246;20.321;19.490;20.756;20.322;19.229;17.699;17.000;14.131;214.350
Klinkby;Midtjyske Jernbaner;;;;;;;;;;;;;0
Kliplev;DSB FR;822;814;861;877;1.327;995;672;788;908;769;704;746;10.283
Knabstrup;DSB FR;2.431;2.137;2.318;2.293;2.399;2.315;2.437;2.706;2.782;2.752;2.415;2.084;29.069
Kokkedal;DSB FR;63.308;59.110;68.568;67.188;75.542;76.813;66.407;78.268;78.313;72.802;70.862;60.584;837.765
Kolding;DSB FR;88.676;72.452;71.055;89.988;88.919;101.668;107.686;134.065;98.724;99.631;89.531;81.505;1.123.900
Korsør;DSB FR;28.452;24.847;24.601;25.365;24.878;22.927;21.371;29.893;25.914;29.379;24.617;21.042;303.286
Kvissel;DSB FR;;;;;;;;;;;;;0
Kvissel;Nordjyske Jernbaner;1.088;940;1.226;958;1.082;1.036;1.002;1.256;1.391;1.117;1.305;1.262;13.663
Kvægtorvet;DSB FR;;;;;;;;;;;;;0
Kvægtorvet;Nordjyske Jernbaner;855;800;890;701;976;902;668;934;885;843;849;734;10.037
Kværndrup;Arriva;3.048;3.080;3.464;3.210;3.472;5.970;2.646;3.779;4.129;3.180;3.155;2.606;41.739
Kværndrup;DSB FR;;;;;;;;;;;;;0
København H;DSB FR;954.834;866.148;961.395;945.965;1.058.342;1.048.336;942.631;1.123.657;1.136.709;1.141.531;1.076.491;886.017;12.142.056
København Syd;DSB FR;18.053;16.250;17.098;14.553;17.790;18.502;17.173;19.539;18.992;17.621;18.689;16.231;210.491
CPH Lufthavn;DSB FR;65.990;59.972;66.023;61.222;66.884;68.581;67.310;73.091;74.079;77.192;69.210;59.911;809.465
Køge;DSB FR;47.618;41.484;42.252;32.962;32.997;31.661;34.429;39.174;38.057;43.171;36.103;30.858;450.766
Køge Nord;DSB FR;37.119;32.023;30.510;32.269;34.291;33.647;32.526;39.311;38.288;42.635;39.098;32.801;424.518
Langeskov;DSB FR;7.722;6.292;6.215;4.872;4.503;3.227;2.662;6.533;6.284;6.940;5.824;4.981;66.055
Langå;Arriva;5.971;5.837;6.804;6.816;7.285;6.939;5.933;6.939;7.664;7.144;7.250;6.432;81.014
Langå;DSB FR;8.209;6.814;7.639;7.751;7.869;7.869;6.777;8.170;9.708;9.027;9.602;10.579;100.014
Laven;Arriva;1.036;928;1.104;1.109;1.318;1.667;1.280;1.546;1.479;1.050;1.127;1.047;14.691
Lejre;DSB FR;16.010;15.696;17.863;14.945;18.787;21.122;15.827;19.492;21.282;21.062;21.102;17.850;221.038
Lem;Arriva;;;;;;;;;;;;;0
Lemvig;Midtjyske Jernbaner;;;;;;;;;;;;;0
Lilleheden;Nordjyske Jernbaner;2.928;2.897;3.440;2.928;3.197;3.358;3.286;3.578;3.611;3.312;3.297;2.388;38.220
Lindholm;DSB FR;2.499;2.140;2.410;2.224;2.620;2.590;2.423;2.765;2.829;2.512;2.612;2.620;30.244
Lindholm;Nordjyske Jernbaner;8.282;8.155;9.415;8.147;9.152;9.188;7.710;9.072;10.385;9.181;9.884;9.210;107.781
Lundby;DSB FR;3.209;2.983;2.909;3.173;3.161;3.097;2.577;3.851;3.169;3.106;3.700;2.763;37.698
Lunde;Arriva;1.038;735;1.092;821;997;779;346;816;1.055;781;981;666;10.107
Lunderskov;DSB FR;12.377;10.679;11.021;13.044;13.100;13.260;12.752;15.224;13.647;13.695;13.028;11.265;153.092
Lyngs;Arriva;328;369;410;397;515;446;279;331;472;312;383;280;4.522
Lyngs;DSB FR;;;;;;;;;;;;;0
Løftgård;Arriva;95;74;91;55;111;78;24;86;119;87;127;96;1.043
Maribo;Lokaltog;15.878;14.162;17.716;15.936;17.050;17.438;15.069;18.610;18.511;17.803;17.242;14.370;199.785
Middelfart;DSB FR;52.830;42.514;44.219;47.389;47.487;40.027;37.030;55.961;46.996;54.039;47.054;35.287;550.833
Mørkøv;DSB FR;7.151;6.264;6.581;6.874;6.506;5.759;5.086;6.720;7.727;6.731;6.736;5.169;77.304
Napstjært;DSB FR;;;;;;;;;;;;;0
Napstjært;Nordjyske Jernbaner;57;53;69;86;147;173;239;108;67;86;91;65;1.241
Nejrup;Midtjyske Jernbaner;;;;;;;;;;;;;0
Niebüll;Arriva;2.875;2.858;2.880;4.737;4.585;5.424;7.423;8.149;6.459;5.488;600;;51.478
Nivå;DSB FR;26.906;25.096;28.895;28.447;32.444;34.258;30.105;34.180;33.436;30.928;30.099;26.063;360.857
Nyborg;DSB FR;67.629;56.986;58.990;63.262;72.415;55.784;52.355;70.847;64.955;72.712;63.297;47.496;746.728
Nykøbing F;DSB FR;36.182;33.177;33.468;37.694;38.065;33.776;38.930;43.171;39.512;39.273;37.423;33.923;444.594
Næstved;DSB FR;133.846;120.305;121.628;132.728;130.179;112.706;112.357;145.269;136.146;141.029;130.114;112.919;1.529.226
Næstved Nord;DSB FR;6.146;5.523;5.201;5.756;5.678;4.811;5.210;6.535;6.375;6.387;6.195;4.739;68.556
Nørre Alslev;DSB FR;7.185;6.128;6.582;6.743;6.667;6.005;5.291;7.180;7.025;6.831;6.909;5.643;78.189
Nørre Nebel;Arriva;2.892;2.311;3.155;2.463;2.888;2.274;1.832;2.911;2.954;2.602;2.903;2.281;31.466
Nørre Aaby;DSB FR;6.334;5.419;5.020;5.787;5.463;4.738;3.195;6.501;5.740;5.834;6.546;4.604;65.181
Nørreport;DSB FR;264.411;253.507;289.747;264.388;308.831;319.306;265.348;318.825;335.628;324.304;319.647;271.570;3.535.512
Oddesund Nord;Arriva;26;34;25;36;70;70;51;132;81;54;42;34;655
Oddesund Nord;DSB FR;;;;;;;;;;;;;0
Odense;Arriva;38.329;40.894;46.934;40.167;40.129;47.768;38.053;46.206;49.206;44.876;45.797;40.941;519.300
Odense;DSB FR;323.288;276.385;289.847;296.284;295.217;250.669;224.024;328.752;304.351;338.705;298.932;234.691;3.461.145
Odense Sygehus;Arriva;8.077;8.230;9.760;7.673;8.119;11.253;6.287;7.655;8.957;8.389;9.102;6.962;100.464
Odense Sygehus;DSB FR;;;;;;;;;;;;;0
Oksbøl;Arriva;2.478;2.440;2.881;2.610;3.010;2.354;2.113;3.407;3.553;2.699;2.970;2.076;32.591
Orehoved;DSB FR;22;0;24;0;;;;22;23;22;0;1;114
Outrup;Arriva;1.425;1.181;1.541;1.140;1.389;1.044;600;1.405;1.532;1.280;1.584;1.100;15.221
Padborg;DSB FR;1.825;1.870;3.480;2.662;2.839;2.701;2.398;2.928;4.531;2.913;2.874;2.751;33.772
Pederstrup;Arriva;747;744;941;891;772;857;545;786;883;758;783;762;9.469
Pederstrup;DSB FR;;;;;;;;;;;;;0
Puttgarden;DSB FR;;;;;;;;;;;;;0
Pårup;Lokaltog;163;201;239;205;211;329;167;250;263;187;220;220;2.655
Ramme;Midtjyske Jernbaner;;;;;;;;;;;;;0
